ProductID,ProductName,Category,City,Price,QuantitySold,Month,Year
485,Desk Lamp,Office Supplies,Shiraz,76000,324,2,2022
573,Headphone,Electronics,Qom,18812000,14,6,2023
686,Table,Furniture,Tabriz,3455000,300,5,2023
119,Keyboard,Electronics,,32400000,50,9,2022
181,Notebook,Stationery,Ahvaz,41000,82,11,
536,Chair,Furniture,Shiraz,4938000,487,2,2021
550,Keyboard,Electronics,Karaj,34290000,28,4,2023
122,Notebook,Stationery,Kermanshah,92000,257,5,2022
734,Desk Lamp,Office Supplies,Isfahan,955000,102,1,
535,Bookshelf,Furniture,Karaj,4074000,198,1,2021
769,Pen,Stationery,Qom,26000,303,12,2023
955,Tablet,Electronics,Kermanshah,18127000,17,8,2021
119,Bookshelf,Furniture,Tehran,2858000,45,3,2022
794,Chair,Furniture,Karaj,2809000,135,4,2022
847,Chair,Furniture,Qom,3073000,252,9,2020
962,Headphone,Electronics,Shiraz,29301000,16,11,2024
659,Monitor,Electronics,Shiraz,42047000,23,11,2022
571,Tablet,Electronics,Tabriz,1790000,337,7,2022
173,Pen,Stationery,Qom,121000,312,3,2022
980,Desk Lamp,Office Supplies,Shiraz,476000,477,,2023
805,,Electronics,Mashhad,12233000,30,11,2022
566,Table,Furniture,Tehran,731000,114,3,2023
819,Laptop,Electronics,Kermanshah,20641000,42,4,2021
948,,Electronics,Rasht,22111000,20,5,2023
960,,Electronics,Kermanshah,49892000,48,5,2021
815,Bookshelf,Furniture,Mashhad,1884000,467,11,2024
624,Mouse,Electronics,Rasht,16472000,30,7,2023
614,Bookshelf,Furniture,Kermanshah,733000,127,6,2024
516,Chair,Furniture,Isfahan,2931000,318,6,2021
770,Laptop,Electronics,Shiraz,4619000,114,1,2024
344,Mouse,Electronics,Qom,1070000,117,8,2022
952,Headphone,Electronics,Ahvaz,6001000,163,8,2021
633,Keyboard,Electronics,Shiraz,49961000,5,1,2023
643,Laptop,Electronics,Ahvaz,5771000,,,2021
641,Notebook,Stationery,Karaj,175000,94,8,2022
602,Table,Furniture,Rasht,3129000,444,8,2022
258,Keyboard,Electronics,Shiraz,2964000,110,12,2021
251,Smartphone,Electronics,Mashhad,22232000,20,6,2024
552,Mouse,Electronics,Tabriz,2825000,356,8,2024
325,Chair,Furniture,Karaj,1789000,366,11,
638,Printer,Electronics,Shiraz,32714000,50,6,
316,Bookshelf,Furniture,Ahvaz,2256000,489,8,2024
464,Notebook,Stationery,Tabriz,191000,49,11,2023
219,Table,Furniture,Tehran,3474000,456,12,2023
314,Tablet,Electronics,Mashhad,19278000,9,,2024
442,Camera,Electronics,Rasht,32421000,32,3,2021
303,Printer,Electronics,Karaj,34319000,13,4,2023
723,Pen,Stationery,Isfahan,73000,422,11,2024
170,Pen,Stationery,Kermanshah,86000,259,7,2023
317,,Stationery,Ahvaz,79000,475,6,2021
509,Smartphone,Electronics,Mashhad,32863000,,4,2024
118,Laptop,Electronics,Isfahan,33472000,4,9,2021
376,Keyboard,Electronics,Qom,43245000,35,7,2022
509,Tablet,Electronics,Karaj,16710000,42,6,2022
134,Chair,Furniture,Rasht,3207000,121,10,2020
135,Pen,Stationery,Qom,187000,313,7,2020
629,Chair,Furniture,Mashhad,4031000,293,1,2022
418,Desk Lamp,Office Supplies,Tabriz,877000,18,8,2022
907,Keyboard,Electronics,Rasht,26684000,42,2,2024
882,Printer,Electronics,Kermanshah,34138000,19,6,2022
745,Desk Lamp,Office Supplies,Mashhad,407000,372,5,2020
312,Printer,Electronics,Tehran,7804000,390,3,2022
957,Monitor,Electronics,Kermanshah,34335000,24,10,2020
716,Laptop,Electronics,,44854000,5,7,2020
693,Chair,Furniture,Karaj,3014000,282,5,2020
332,Printer,Electronics,Tabriz,8023000,379,2,2023
445,Monitor,Electronics,Karaj,45286000,28,7,2021
901,Laptop,Electronics,Shiraz,37738000,42,,2021
436,Notebook,Stationery,Isfahan,163000,317,8,2022
339,Headphone,Electronics,Ahvaz,24478000,36,5,2021
267,Mouse,Electronics,Tehran,48822000,3,2,2020
234,Printer,Electronics,Qom,30683000,21,7,2020
428,Laptop,Electronics,Isfahan,33632000,44,11,2020
555,Headphone,Electronics,Tehran,29882000,38,9,2021
567,Smartphone,Electronics,Isfahan,45959000,29,10,2021
525,Bookshelf,Furniture,Mashhad,4726000,72,1,2022
625,Mouse,Electronics,Shiraz,13589000,17,5,2021
410,Keyboard,Electronics,Shiraz,10563000,4,4,2022
540,Headphone,Electronics,Mashhad,48460000,33,9,2023
482,,Electronics,Kermanshah,29037000,40,12,2023
749,Chair,Furniture,Tehran,3899000,447,3,2020
379,Chair,Furniture,Shiraz,3683000,42,10,2024
180,Keyboard,Electronics,Shiraz,31749000,24,1,2021
636,Laptop,Electronics,Qom,31972000,28,10,2020
807,Table,Furniture,Ahvaz,2962000,480,4,2023
134,Bookshelf,Furniture,Kermanshah,2867000,136,11,2023
812,Headphone,Electronics,Karaj,43129000,8,3,2020
409,Monitor,Electronics,Tabriz,43018000,49,7,2022
692,Smartphone,Electronics,Kermanshah,48899000,31,11,2022
870,Bookshelf,Furniture,Qom,2211000,190,4,2024
995,Smartphone,Electronics,Ahvaz,16023000,4,,2020
280,Chair,Furniture,Ahvaz,2340000,227,3,2023
790,Headphone,Electronics,Karaj,25951000,5,8,2022
390,Laptop,Electronics,Qom,22182000,41,,2024
152,Monitor,Electronics,Rasht,14603000,39,4,2022
522,Desk Lamp,Office Supplies,Ahvaz,664000,470,2,2024
321,Camera,Electronics,Rasht,29267000,25,7,2022
453,Monitor,Electronics,Mashhad,18460000,21,9,2024
505,Laptop,Electronics,Ahvaz,34054000,2,9,2020
356,Printer,Electronics,Kermanshah,1180000,305,4,2022
158,Mouse,Electronics,Mashhad,35777000,42,2,2024
143,Table,Furniture,Shiraz,2400000,484,11,2021
629,Camera,Electronics,Shiraz,16286000,50,6,2023
631,Notebook,Stationery,Kermanshah,198000,83,1,2023
856,Printer,Electronics,Tabriz,8161000,259,12,2020
827,Notebook,Stationery,Mashhad,131000,249,5,2024
896,Smartphone,Electronics,Shiraz,31677000,46,3,2024
900,Table,Furniture,Qom,2331000,237,2,2024
119,Notebook,Stationery,Kermanshah,11000,337,10,2021
173,Chair,Furniture,Tabriz,3619000,27,1,2021
227,Mouse,Electronics,Qom,6980000,210,11,2020
161,Mouse,Electronics,Shiraz,23762000,24,5,2023
181,Smartphone,Electronics,Rasht,23915000,40,2,2020
680,Smartphone,Electronics,Qom,12903000,21,3,2024
617,Chair,Furniture,Tehran,2063000,118,6,2020
687,Table,Furniture,Karaj,2427000,285,6,2022
198,Printer,Electronics,Tehran,9982000,468,12,2021
657,Chair,Furniture,Kermanshah,1125000,252,3,2024
961,Tablet,Electronics,Shiraz,4922000,125,8,2020
798,Monitor,Electronics,Ahvaz,2421000,477,11,2022
206,Camera,Electronics,Karaj,34828000,17,5,2024
333,Mouse,Electronics,Tehran,17716000,15,4,2023
362,Monitor,Electronics,Kermanshah,41733000,26,,2022
189,Keyboard,Electronics,Kermanshah,17928000,43,3,2022
127,Desk Lamp,Office Supplies,,552000,444,10,2024
811,Bookshelf,Furniture,Shiraz,2728000,266,3,2021
920,Bookshelf,Furniture,Qom,4374000,493,2,2023
242,Tablet,Electronics,Ahvaz,14432000,18,9,2022
405,Laptop,Electronics,Shiraz,27641000,24,5,2022
234,Keyboard,Electronics,,21813000,18,,2023
366,Table,Furniture,Tabriz,1322000,420,1,2023
667,Camera,Electronics,Tehran,18450000,17,7,2020
636,Camera,Electronics,Rasht,26695000,14,12,2020
462,Desk Lamp,Office Supplies,Tehran,707000,134,3,2020
344,Monitor,Electronics,Mashhad,7211000,286,10,2024
674,Table,Furniture,Karaj,1949000,52,7,2024
932,Notebook,Stationery,Tehran,83000,231,2,2022
804,Printer,Electronics,Mashhad,48941000,46,12,2024
240,Chair,Furniture,Mashhad,1602000,114,7,2020
363,Keyboard,Electronics,Qom,2828000,356,12,2023
292,Monitor,Electronics,Tehran,2688000,50,5,2021
716,Pen,Stationery,Karaj,158000,154,7,2022
402,Smartphone,Electronics,Mashhad,48436000,47,6,2022
221,Notebook,Stationery,Mashhad,19000,91,4,2021
893,Laptop,Electronics,Ahvaz,38521000,5,11,2024
971,Bookshelf,Furniture,Shiraz,1600000,136,5,2024
780,Camera,Electronics,Mashhad,25976000,17,2,2021
509,Keyboard,Electronics,Tabriz,45828000,25,3,2020
584,Monitor,,Qom,15068000,27,,2020
626,Mouse,Electronics,Ahvaz,41770000,15,3,2021
349,Table,Furniture,Mashhad,2767000,257,,2022
978,Keyboard,Electronics,Mashhad,3025000,493,10,2023
406,Chair,Furniture,Tehran,1544000,157,10,2023
584,Bookshelf,Furniture,Karaj,2245000,491,4,2023
249,Bookshelf,Furniture,Kermanshah,2396000,221,4,2020
465,,Furniture,Rasht,4786000,482,2,2023
800,Mouse,Electronics,Isfahan,14125000,28,11,2024
308,Tablet,Electronics,Kermanshah,3761000,477,11,2023
662,Printer,Electronics,Qom,49433000,16,2,2023
512,Bookshelf,Furniture,Karaj,3844000,88,11,
856,Tablet,Electronics,Isfahan,20266000,26,6,2020
488,Chair,Furniture,Isfahan,2902000,447,9,2021
764,Bookshelf,Furniture,Shiraz,4614000,52,5,2021
551,Pen,Stationery,Kermanshah,81000,409,12,2022
345,Laptop,Electronics,Mashhad,22635000,44,4,2022
700,,Electronics,Mashhad,45695000,34,3,2022
290,,Furniture,Ahvaz,2129000,296,4,2023
894,Camera,Electronics,,27363000,6,9,2022
787,,Stationery,Tabriz,121000,332,2,2024
826,Smartphone,Electronics,Ahvaz,41655000,13,12,2023
159,Smartphone,Electronics,Ahvaz,10781000,42,9,2021
420,Tablet,Electronics,Shiraz,26420000,1,12,2024
865,Bookshelf,Furniture,Ahvaz,3277000,358,,2020
604,Mouse,Electronics,Isfahan,48271000,42,6,2023
929,Headphone,Electronics,Tehran,40076000,39,11,2023
530,Mouse,Electronics,Isfahan,21104000,7,6,2024
488,Desk Lamp,Office Supplies,Shiraz,539000,393,7,2024
720,Notebook,Stationery,Ahvaz,125000,109,1,2020
763,,Stationery,Isfahan,38000,241,6,2023
712,Printer,Electronics,Qom,41992000,28,5,2021
221,Notebook,Stationery,Tabriz,90000,33,6,2024
206,Tablet,Electronics,Kermanshah,29042000,33,9,2022
791,Chair,Furniture,Shiraz,3511000,341,8,2020
632,Smartphone,Electronics,Shiraz,33937000,35,,2023
151,Keyboard,Electronics,Mashhad,37374000,47,9,2024
537,Tablet,Electronics,Tehran,19375000,10,5,2024
976,Laptop,Electronics,Tehran,5368000,58,12,2021
149,Desk Lamp,Office Supplies,Mashhad,268000,213,3,2023
466,Table,Furniture,Tabriz,2217000,348,1,2023
137,Tablet,Electronics,Mashhad,3871000,134,5,2021
788,Mouse,Electronics,Karaj,45666000,22,10,2022
239,,Electronics,Rasht,13173000,6,2,2020
803,Notebook,Stationery,Rasht,194000,395,10,2021
553,Tablet,Electronics,Qom,7679000,428,11,2022
703,Pen,Stationery,Shiraz,11000,13,12,2023
458,Bookshelf,Furniture,Qom,3081000,233,12,2020
307,Keyboard,Electronics,Karaj,6189000,193,,2023
160,Monitor,Electronics,Tabriz,8489000,339,9,2021
797,Printer,Electronics,Ahvaz,42576000,11,9,2020
452,Printer,Electronics,Tabriz,20410000,16,5,2022
242,Headphone,Electronics,Shiraz,39480000,2,9,2021
120,Keyboard,Electronics,Rasht,4864000,123,12,2020
702,Chair,Furniture,Mashhad,3201000,283,2,2020
503,Bookshelf,Furniture,Kermanshah,4023000,498,3,2023
957,Smartphone,Electronics,Isfahan,23174000,29,12,2022
845,Tablet,Electronics,Rasht,33894000,46,4,2024
757,Smartphone,Electronics,Isfahan,39250000,1,,2023
798,Keyboard,Electronics,Ahvaz,34766000,45,2,2023
433,Camera,Electronics,Qom,6441000,36,5,2020
916,,Electronics,Karaj,42021000,38,12,2021
398,Table,Furniture,Kermanshah,2111000,372,2,2020
174,Mouse,Electronics,Rasht,38075000,50,7,
365,Table,Furniture,Tehran,1384000,380,6,2024
799,Camera,Electronics,Qom,18349000,8,1,2020
573,Camera,Electronics,Rasht,1641000,254,4,
927,Chair,Furniture,Tehran,4006000,305,8,2021
496,Mouse,Electronics,Isfahan,39617000,42,6,2020
939,Mouse,Electronics,Ahvaz,5808000,391,12,2020
638,Mouse,Electronics,Ahvaz,12047000,21,12,2022
480,Keyboard,Electronics,Qom,35726000,24,2,2024
444,Notebook,Stationery,Isfahan,133000,409,8,2023
701,Tablet,Electronics,Shiraz,2229000,341,12,2023
263,Keyboard,Electronics,Kermanshah,2235000,235,2,2021
472,Monitor,Electronics,Qom,26839000,7,9,2024
540,Table,Furniture,Isfahan,1005000,210,9,2020
857,Bookshelf,Furniture,Rasht,2295000,107,2,2022
182,Desk Lamp,Office Supplies,Qom,861000,76,6,2024
583,Desk Lamp,Office Supplies,Mashhad,641000,481,11,2020
154,Desk Lamp,Office Supplies,Ahvaz,843000,389,7,2020
883,Camera,Electronics,Isfahan,10834000,19,7,2022
388,Mouse,Electronics,Karaj,29157000,31,10,2022
395,Printer,Electronics,Qom,19247000,38,11,2024
208,Monitor,Electronics,Isfahan,2105000,429,10,2021
969,Notebook,Stationery,Karaj,99000,473,8,2024
923,Keyboard,Electronics,Karaj,46768000,40,6,2024
736,Laptop,,Ahvaz,15389000,37,7,2024
169,Keyboard,Electronics,Ahvaz,39301000,25,11,2023
183,Desk Lamp,Office Supplies,Shiraz,163000,408,2,2023
381,Keyboard,Electronics,Tabriz,45045000,16,10,2020
964,Camera,Electronics,,23323000,20,8,2024
256,Headphone,Electronics,Tabriz,20984000,28,1,2024
411,Pen,Stationery,Qom,191000,273,10,2024
361,Mouse,Electronics,Qom,6688000,162,6,
711,Laptop,Electronics,Isfahan,36203000,33,7,2023
690,Printer,Electronics,Ahvaz,42359000,29,2,2020
402,Headphone,Electronics,Isfahan,25082000,13,1,2023
359,Keyboard,Electronics,Shiraz,46330000,45,4,2024
831,Desk Lamp,Office Supplies,Ahvaz,849000,272,8,2023
375,Bookshelf,Furniture,Isfahan,2264000,277,5,2020
833,Notebook,Stationery,Isfahan,114000,496,6,2023
539,Smartphone,Electronics,Ahvaz,6067000,364,6,2023
604,Pen,,Mashhad,193000,106,7,2021
904,Table,Furniture,,2911000,355,1,2021
131,Keyboard,Electronics,Rasht,40175000,12,11,2023
564,Bookshelf,Furniture,Rasht,4723000,249,2,2024
184,,Furniture,Kermanshah,878000,433,6,2022
494,Chair,Furniture,Karaj,3972000,463,1,2023
394,Pen,Stationery,Karaj,71000,431,3,2024
308,,Electronics,Ahvaz,37741000,45,10,2022
426,Keyboard,Electronics,Tehran,44107000,6,8,2022
421,Monitor,Electronics,Karaj,31796000,31,10,2022
682,Headphone,Electronics,Mashhad,2024000,110,4,2024
176,Notebook,Stationery,Mashhad,194000,158,1,2021
953,Chair,Furniture,Mashhad,4858000,341,9,2023
585,Monitor,Electronics,Rasht,9962000,458,4,2020
441,Pen,Stationery,,85000,461,12,2024
520,,Electronics,Qom,42064000,12,6,2021
166,Printer,Electronics,Mashhad,6898000,273,,2020
725,Desk Lamp,Office Supplies,Mashhad,909000,258,12,
436,Monitor,Electronics,Tabriz,32819000,6,1,2022
648,Printer,Electronics,Shiraz,8555000,21,5,2023
508,Keyboard,Electronics,Shiraz,29082000,1,9,2022
866,Headphone,Electronics,Tabriz,43642000,29,4,2022
276,Chair,Furniture,Mashhad,2408000,464,8,2021
621,Monitor,Electronics,Ahvaz,26871000,44,6,2021
561,Printer,Electronics,Tabriz,1964000,221,10,2021
125,Chair,Furniture,Tabriz,2386000,353,12,2024
624,Printer,Electronics,Tabriz,32368000,24,11,2024
969,Table,Furniture,Tehran,1973000,400,10,2023
250,Smartphone,Electronics,Karaj,41827000,6,7,2020
791,Mouse,Electronics,Karaj,14590000,13,9,2020
742,Keyboard,Electronics,Karaj,29665000,20,3,2022
638,Headphone,Electronics,Rasht,1224000,416,6,2020
232,Notebook,Stationery,Tehran,16000,222,6,2021
974,Printer,Electronics,Tabriz,36048000,4,10,2022
771,Notebook,Stationery,Tabriz,74000,24,3,2022
969,Laptop,Electronics,Kermanshah,26314000,9,12,2023
834,Mouse,Electronics,Shiraz,39751000,36,7,2020
398,Headphone,Electronics,Ahvaz,24788000,31,2,2024
817,Chair,Furniture,Ahvaz,4086000,445,10,2021
351,Tablet,Electronics,Kermanshah,25782000,43,8,2023
133,Headphone,Electronics,Karaj,44327000,3,6,2022
656,,Electronics,Tabriz,12270000,37,2,2024
859,Bookshelf,Furniture,Qom,2068000,494,4,2020
975,Monitor,Electronics,Rasht,21717000,17,9,2023
781,Headphone,Electronics,Rasht,9538000,64,10,2022
441,Notebook,Stationery,,48000,175,2,2023
796,Monitor,Electronics,Isfahan,30640000,36,9,2024
376,Pen,Stationery,Rasht,32000,472,5,2024
793,Chair,Furniture,Rasht,4546000,106,3,2022
802,Headphone,Electronics,Mashhad,45220000,31,12,2023
539,Laptop,Electronics,Tehran,38236000,37,3,2020
913,Tablet,Electronics,Kermanshah,19304000,48,10,2021
945,Notebook,Stationery,Rasht,26000,482,6,2021
192,Pen,Stationery,Qom,143000,242,1,2024
895,Pen,Stationery,Isfahan,105000,336,12,2022
555,Headphone,Electronics,Tehran,41542000,21,3,2021
509,Keyboard,Electronics,Shiraz,48277000,16,9,2023
130,Pen,Stationery,Shiraz,190000,431,9,2022
442,Printer,Electronics,Mashhad,30430000,5,10,2024
706,Headphone,Electronics,Tehran,5612000,466,6,2023
656,Mouse,Electronics,Tehran,12700000,5,6,2022
518,Keyboard,Electronics,Mashhad,46541000,25,4,2022
708,Mouse,Electronics,Shiraz,12991000,8,7,2024
908,Desk Lamp,Office Supplies,Shiraz,818000,69,9,2022
377,Headphone,Electronics,Kermanshah,48834000,6,4,2023
765,Notebook,Stationery,Qom,83000,311,1,2023
408,Pen,Stationery,Kermanshah,109000,282,9,2024
645,Pen,Stationery,Ahvaz,69000,112,6,2021
367,Tablet,Electronics,Shiraz,18208000,38,6,2020
614,Table,Furniture,Karaj,3363000,122,5,2022
176,Pen,Stationery,Tabriz,163000,104,3,2023
420,Keyboard,Electronics,Ahvaz,4332000,362,7,2020
443,Pen,Stationery,Tehran,127000,132,9,
108,Bookshelf,Furniture,Karaj,4506000,345,5,2020
405,Bookshelf,Furniture,Shiraz,3221000,51,2,2022
100,Headphone,Electronics,Tabriz,36567000,44,3,2023
227,Monitor,Electronics,Rasht,29064000,40,4,2023
629,Laptop,Electronics,Shiraz,43414000,15,12,2024
664,Chair,Furniture,Isfahan,1743000,65,10,2023
392,Printer,Electronics,Tehran,25237000,14,3,2020
510,Notebook,Stationery,Shiraz,28000,55,8,2022
531,Tablet,Electronics,Tehran,45007000,13,5,2022
341,Mouse,Electronics,Tehran,48187000,34,2,2023
959,Chair,Furniture,Tabriz,4809000,374,11,2022
443,Desk Lamp,Office Supplies,Ahvaz,828000,309,9,2020
301,Mouse,Electronics,Ahvaz,40102000,18,1,2023
387,Chair,,Ahvaz,4574000,274,2,2022
613,Pen,Stationery,Qom,49000,424,4,2020
591,Smartphone,Electronics,Tehran,49063000,44,6,2023
282,Mouse,Electronics,Mashhad,35854000,42,11,2020
951,Printer,Electronics,Isfahan,3939000,438,11,2024
651,,Furniture,,2859000,180,4,2023
775,Headphone,,Tehran,38567000,2,10,2023
787,Notebook,Stationery,Isfahan,77000,244,3,2024
877,Printer,Electronics,Karaj,12191000,7,5,2021
384,Laptop,Electronics,Tabriz,28926000,29,9,2020
583,Smartphone,Electronics,Qom,19882000,22,,2020
364,Chair,Furniture,Tehran,4854000,455,3,2024
966,,Stationery,,24000,187,1,2024
840,,Electronics,Ahvaz,36425000,7,4,2023
412,Bookshelf,Furniture,Tabriz,4746000,51,11,2022
303,Monitor,Electronics,Shiraz,47142000,26,12,2023
769,Desk Lamp,Office Supplies,Tabriz,297000,10,12,2021
867,Headphone,Electronics,Rasht,20948000,35,11,2021
902,Chair,Furniture,Isfahan,3346000,219,8,2022
607,Keyboard,Electronics,Qom,27951000,32,1,2023
540,Pen,Stationery,Shiraz,176000,123,8,2024
395,Chair,Furniture,Karaj,2355000,113,9,2024
897,Desk Lamp,Office Supplies,Rasht,656000,298,9,2021
753,Headphone,Electronics,Isfahan,23202000,10,4,2023
141,Laptop,Electronics,Mashhad,49185000,1,7,2022
183,Table,Furniture,Kermanshah,1532000,404,9,2020
740,Chair,Furniture,Karaj,2537000,395,12,2023
738,Monitor,Electronics,Shiraz,8862000,132,7,2020
378,Tablet,Electronics,Mashhad,47384000,8,2,2023
605,Notebook,Stationery,Shiraz,184000,67,12,2022
132,Camera,Electronics,Shiraz,43559000,48,12,2020
199,,Electronics,Tehran,2614000,138,3,2022
852,Smartphone,Electronics,Kermanshah,20219000,12,1,2021
680,Laptop,Electronics,Mashhad,47196000,40,10,2022
960,Printer,Electronics,Rasht,46703000,28,3,2023
478,Desk Lamp,Office Supplies,Mashhad,945000,394,,2023
758,Notebook,Stationery,Isfahan,145000,267,7,2022
620,Printer,Electronics,Tabriz,13734000,48,3,2021
867,Desk Lamp,Office Supplies,Tehran,595000,256,4,2022
132,Laptop,Electronics,Isfahan,46001000,50,8,2021
897,Smartphone,Electronics,Ahvaz,44125000,44,7,2021
538,Monitor,Electronics,Isfahan,49306000,13,,2022
414,Bookshelf,Furniture,Kermanshah,4025000,28,6,2020
824,Bookshelf,Furniture,Tehran,3205000,188,5,2022
732,Printer,Electronics,Tabriz,13490000,16,3,2020
565,Printer,Electronics,Tehran,3649000,266,11,2024
361,Tablet,Electronics,Karaj,11101000,18,12,2024
828,Printer,Electronics,Mashhad,47877000,18,9,2020
250,Pen,Stationery,Kermanshah,165000,184,8,2023
330,Keyboard,Electronics,Tehran,27117000,15,8,2020
906,Printer,Electronics,Tehran,18863000,12,4,2024
443,Bookshelf,Furniture,Shiraz,1226000,328,5,2021
213,Tablet,Electronics,Qom,35514000,16,2,2022
989,Mouse,Electronics,Shiraz,41671000,7,10,2022
788,Table,Furniture,Mashhad,2883000,278,12,2020
108,Mouse,,Tabriz,21387000,28,10,2022
891,Camera,Electronics,Mashhad,48969000,21,5,2021
913,Printer,Electronics,Mashhad,7036000,80,9,2020
940,Chair,Furniture,Tehran,2329000,211,4,2020
189,Table,Furniture,Karaj,1614000,61,5,2022
507,,Electronics,Tabriz,15167000,12,11,
570,Table,Furniture,Isfahan,821000,53,1,2023
410,Smartphone,Electronics,Qom,33297000,15,,2022
355,Monitor,Electronics,Ahvaz,47189000,46,2,2021
240,Headphone,Electronics,Kermanshah,27094000,24,3,2020
199,Notebook,Stationery,Shiraz,102000,270,7,2023
722,Chair,Furniture,Qom,2645000,489,2,2020
139,,Electronics,Tabriz,26478000,9,5,2023
504,Laptop,Electronics,Tabriz,23181000,7,1,2021
995,Table,Furniture,Kermanshah,1657000,42,3,2021
177,Smartphone,Electronics,Shiraz,8913000,336,11,2023
578,Laptop,Electronics,Qom,17573000,28,5,2020
150,Camera,Electronics,Kermanshah,1307000,287,5,2020
845,Monitor,Electronics,,43094000,37,8,2023
859,Smartphone,Electronics,Tehran,16118000,24,4,2021
132,Smartphone,Electronics,Qom,10986000,18,3,2022
704,Desk Lamp,Office Supplies,Ahvaz,498000,274,8,2020
305,Bookshelf,Furniture,Qom,1073000,216,12,2022
956,Keyboard,Electronics,Isfahan,10009000,20,6,
809,Headphone,Electronics,Tehran,12934000,27,10,2021
273,Bookshelf,Furniture,Tehran,901000,224,4,2022
143,Monitor,Electronics,Kermanshah,42789000,24,3,2022
809,Bookshelf,Furniture,Qom,3113000,427,6,2021
555,Table,Furniture,,2815000,75,4,2024
724,Notebook,Stationery,Kermanshah,84000,62,7,2021
170,Mouse,Electronics,Shiraz,18424000,21,8,2024
748,Notebook,Stationery,Tabriz,132000,357,2,2020
611,Monitor,Electronics,Mashhad,8687000,187,4,2021
522,Tablet,Electronics,Rasht,15385000,43,1,2022
877,Table,Furniture,Tabriz,1648000,247,,2020
504,Monitor,Electronics,Rasht,32912000,42,2,2021
746,Tablet,Electronics,Shiraz,33089000,42,12,2024
462,Notebook,Stationery,Qom,67000,55,1,2023
641,Keyboard,Electronics,,17355000,22,8,2022
488,Printer,Electronics,Mashhad,14745000,,,2024
862,Laptop,Electronics,Shiraz,39357000,47,,2023
826,Camera,Electronics,,12396000,15,12,2021
381,,Furniture,Shiraz,4282000,12,8,2020
813,Headphone,Electronics,Tehran,3620000,440,12,2023
407,Laptop,Electronics,Shiraz,39036000,43,10,2020
810,Laptop,Electronics,Isfahan,28069000,33,1,2020
911,Camera,Electronics,,11958000,17,8,2021
427,Smartphone,Electronics,Karaj,28190000,41,11,2022
660,Laptop,Electronics,Tabriz,48005000,39,11,2020
203,Table,Furniture,Tehran,2137000,158,12,2023
929,Printer,Electronics,Isfahan,46312000,44,7,2020
347,Mouse,Electronics,Qom,38044000,11,12,2024
